YYYY-MM-DD;D01;D02;D03;D04;D05;avg_pax_D01;avg_pax_D02;avg_pax_D03;avg_pax_D04;avg_pax_D05;avg_fare_D01;avg_fare_D02;avg_fare_D03;avg_fare_D04;avg_fare_D05;avg_stddev_D01;avg_stddev_D02;avg_stddev_D03;avg_stddev_D04;avg_stddev_D05
2022-01-06;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.370211;1.357911;1.337634;1.364790;1.378874;8.761308;8.344480;9.412617;9.109477;10.090979;5.408553;5.133334;6.939177;6.709103;7.651798
2022-01-07;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.376837;1.362656;1.375978;1.397454;1.498337;8.468842;8.153164;8.674551;9.575295;11.110166;5.412249;5.571924;6.082409;7.315229;10.640386
2022-01-08;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.473225;1.457050;1.508520;1.504425;1.464811;9.046824;8.549184;11.007270;10.780492;9.427833;6.497849;6.351257;9.812085;8.855071;7.532518
2022-01-09;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;1.516626;1.424424;1.461499;1.474700;1.403621;9.307989;9.955946;10.555226;10.574491;8.809105;7.329236;8.367187;9.937321;9.178730;7.582816
2022-01-10;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.336813;1.339126;1.329697;1.339590;1.343556;8.786755;8.251457;9.139749;9.764036;9.243956;5.465632;5.058030;6.836002;6.994730;7.108734
2022-01-11;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.341522;1.314768;1.289840;1.338599;1.299371;8.700855;8.554854;9.174033;9.131057;9.768847;5.209733;5.387992;6.896329;6.353277;6.788915
2022-01-12;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.354450;1.349102;1.321751;1.383626;1.332801;9.067313;8.551961;9.186412;9.245439;9.706464;5.788259;5.102488;6.277983;5.991815;6.241401
2022-01-13;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.371484;1.345393;1.329085;1.344576;1.354215;9.153713;8.431640;9.641712;9.857804;9.912993;5.507566;4.897243;7.259814;7.672514;6.837338
2022-01-14;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.376297;1.360168;1.382233;1.360042;1.371739;9.027210;8.585030;9.042400;10.121595;10.010543;5.435619;5.581743;6.099809;8.039774;6.875241
2022-01-15;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Times Sq/Theatre District,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.467481;1.401664;1.497626;1.606447;1.457382;11.481707;9.079844;9.943881;11.986178;8.970030;10.566979;6.640890;6.777262;11.016825;6.270128
2022-01-16;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.454835;1.497774;1.498434;1.473247;1.449364;9.502746;10.839458;9.128233;10.572113;10.324258;7.214016;11.125306;6.940138;8.604164;8.546522
2022-01-17;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Lincoln Square East,Yellow Zone;1.364722;1.385533;1.369960;1.374663;1.360710;9.326537;8.651366;10.008065;10.674124;10.805954;7.466392;7.023334;8.959344;9.598614;12.782830
2022-01-18;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.346389;1.311942;1.296379;1.344469;1.344975;9.298604;8.815609;9.709933;9.969562;10.130384;6.137952;5.477002;6.606023;7.803924;8.395258
2022-01-19;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.367372;1.314596;1.320604;1.344198;1.313847;9.167352;8.589891;9.583009;9.296383;9.852795;5.300690;5.257665;7.008512;5.925084;7.464405
2022-01-20;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.319298;1.326378;1.306080;1.345145;1.367730;9.026081;8.610315;9.400091;9.186502;9.487475;5.005998;5.050580;6.893418;6.613704;6.776348
2022-01-21;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.367375;1.327493;1.365983;1.365996;1.341747;9.142896;8.626909;9.102341;9.462167;9.496556;5.608346;5.499820;5.536099;9.196430;6.956579
2022-01-22;Manhattan,Upper East Side North,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.430407;1.494418;1.420526;1.425025;1.461126;9.023826;11.059254;8.368492;9.242992;10.458740;6.191727;8.185921;5.792666;6.749550;9.011985
2022-01-23;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.449147;1.395622;1.440049;1.455020;1.438981;9.923038;8.851034;10.022662;11.501086;10.501788;8.660025;6.787091;7.763905;9.850345;7.850042
2022-01-24;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.331632;1.309329;1.283650;1.317780;1.294385;9.271454;8.985202;9.534771;9.624256;9.646780;5.615919;6.530048;7.434836;6.965965;8.055040
2022-01-25;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.368891;1.331402;1.328730;1.358633;1.336165;9.248489;8.763353;9.478205;9.472007;9.494304;5.522331;5.626481;6.406691;6.097240;6.739227
2022-01-26;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.356735;1.330292;1.325499;1.346566;1.306526;9.317630;8.774209;9.570541;9.433900;9.482729;5.354879;4.907871;6.531465;6.099541;6.568558
2022-01-27;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.329560;1.347663;1.312500;1.330606;1.313487;9.657938;9.510472;10.848878;9.930900;10.326852;6.160651;5.691104;7.526895;6.450510;7.059968
2022-01-28;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.366597;1.375154;1.361405;1.356868;1.371461;9.428550;9.625518;10.141510;10.212471;11.332373;6.451012;6.275448;6.796301;7.143047;9.006447
2022-01-29;Manhattan,East Village,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;1.408696;1.427374;1.419103;1.401840;1.431072;9.093281;9.118529;8.659649;8.870859;8.551685;4.927137;7.790447;5.154584;5.117403;6.597703
2022-01-30;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.459605;1.452694;1.432714;1.424089;1.442157;9.274973;8.649751;9.671622;10.314126;11.358907;7.125695;6.714362;7.722960;8.133895;12.161129
2022-01-31;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.351871;1.330806;1.334974;1.342105;1.380783;9.448545;9.339917;10.089701;10.266400;10.241795;6.432456;6.778178;7.029626;7.833208;7.254793
2022-02-01;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.330340;1.361250;1.275204;1.360656;1.374457;9.656892;9.888377;11.066131;10.709418;10.497757;6.182518;6.154990;7.242976;7.307705;6.822291
2022-02-02;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.352539;1.336114;1.345950;1.315162;1.342221;10.050426;9.960373;10.675766;12.096715;10.446202;6.499370;6.251313;7.025715;9.660923;6.744474
2022-02-03;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.348171;1.300521;1.328624;1.327894;1.335962;10.067713;10.232357;9.868161;9.898707;10.668174;6.165178;6.657296;6.558064;7.184301;6.793962
2022-02-04;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;1.363671;1.342631;1.394554;1.373750;1.358320;9.299301;8.671118;9.985386;9.517911;9.486439;6.092792;5.534062;6.552340;7.179502;6.916721
2022-02-05;Manhattan,Upper East Side North,Yellow Zone;Manhattan,East Village,Yellow Zone;Manhattan,Clinton East,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;1.438605;1.495596;1.458661;1.426752;1.462454;9.184114;10.845855;10.712198;8.573913;9.787560;6.231905;7.070054;8.870827;5.750065;6.400238
2022-02-06;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper West Side South,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;Manhattan,Clinton East,Yellow Zone;1.443737;1.438396;1.407146;1.411078;1.455916;9.506976;10.279882;8.972088;10.187151;10.844122;6.936447;7.831606;7.071407;7.773645;9.559191
2022-02-07;Manhattan,Upper East Side North,Yellow Zone;Manhattan,Upper East Side South,Yellow Zone;Manhattan,Midtown Center,Yellow Zone;Manhattan,Murray Hill,Yellow Zone;Manhattan,Lenox Hill West,Yellow Zone;1.350144;1.332245;1.315321;1.341028;1.328647;9.702697;9.383572;10.207156;10.300782;10.280091;6.680129;6.048415;7.977364;8.506815;7.249068
